BINCODE	NAME	IDENTIFIER	DESCRIPTION	TYPE
'27.3.82'	'RNA.regulation of transcription.plant TF (pbf2)'	''	''	
'27.3.83'	'RNA.regulation of transcription.GRF zinc finger family'	''	''	
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre12.g516400.t2.1|pacid:27581985'	'no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre10.g429600.t1.2|pacid:27579561'	'COG5273 zf-DHHC       no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre07.g338800.t1.3|pacid:27563659'	'no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre10.g429601.t1.3|pacid:27579944'	'TatD_DNAse TatD TatD_DNase PRK10425   no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre09.g394050.t1.2|pacid:27569849'	'COG5273 zf-DHHC       no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre12.g487250.t1.2|pacid:27582409'	'DUF1084  no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre03.g172800.t1.2|pacid:27577559'	'no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'g4160.t1|pacid:27577101'	'COG5273 zf-DHHC       no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre06.g309050.t1.2|pacid:27568092'	'NOT2_3_5 CDC36   no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre02.g145231.t1.2|pacid:27574909'	'Mak16 MAK16   no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'g18261.t1|pacid:27572316'	'no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre10.g440050.t1.2|pacid:27580297'	'WcaG  no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'g15789.t1|pacid:27567542'	'COG0724     no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre10.g439550.t1.3|pacid:27579748'	'TLDc TLD OXR1    no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre12.g516400.t1.2|pacid:27581986'	'no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre03.g200250.t1.2|pacid:27576269'	'PrpB prpB   no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre07.g337000.t1.2|pacid:27564060'	'csdA Aminotran_5   no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre12.g540350.t1.2|pacid:27582033'	'Rcd1 RCD1   no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre06.g277000.t1.2|pacid:27569062'	'COG5273 zf-DHHC        no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre08.g358800.t1.2|pacid:27563496'	'no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre07.g338700.t2.1|pacid:27564442'	'no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre02.g075650.t1.2|pacid:27574739'	'no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre12.g542550.t1.3|pacid:27582005'	'COG5273 zf-DHHC     no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre07.g338800.t2.1|pacid:27563658'	'no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'g6350.t1|pacid:27568896'	'PurA   no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre07.g338900.t1.3|pacid:27563850'	'CwfJ_C_1   no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre10.g439550.t2.1|pacid:27579747'	'TLDc TLD OXR1    no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre10.g422000.t1.2|pacid:27580075'	'TRM TRM1 PRK04338   no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'g7529.t1|pacid:27564292'	'no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'g6941.t1|pacid:27569050'	'COG2120 PIG-L   no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'g17769.t1|pacid:27571195'	'no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre10.g428100.t1.3|pacid:27579623'	'PRK04338 TRM1 TRM   no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre12.g517350.t1.2|pacid:27581513'	'no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre01.g028423.t1.2|pacid:27578600'	'Pyridoxal_deC GadB    no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre02.g090100.t1.2|pacid:27575755'	'COG5273 zf-DHHC        no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre13.g577550.t1.2|pacid:27573928'	'no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre02.g101950.t1.2|pacid:27575145'	'TrmA rumB   no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre07.g327700.t1.3|pacid:27563958'	'COG5273 zf-DHHC       no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre03.g204400.t1.3|pacid:27576479'	'no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'g9781.t1|pacid:27569941'	'Sas10_Utp3 Sas10_Utp3_C   no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre12.g526950.t1.3|pacid:27581942'	'WD40 COG2319                         no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre07.g338700.t1.3|pacid:27564443'	'no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre10.g435800.t1.2|pacid:27579795'	'WcaG Epimerase  no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre17.g726250.t1.2|pacid:27571411'	'COG5387   no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre03.g149500.t1.3|pacid:27576845'	'PDCD2_C   no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre02.g107850.t1.2|pacid:27574690'	'Mob1_phocein    no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre01.g007200.t1.2|pacid:27577863'	'COG5273 zf-DHHC        no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre16.g654350.t1.1|pacid:27567113'	'no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre16.g653850.t1.1|pacid:27567005'	'COG5216   no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre16.g668550.t1.2|pacid:27567300'	'COG2930 DUF500 FYVE FYVE   no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre03.g149250.t1.2|pacid:27577152'	'PrpB prpB   no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre01.g028400.t1.3|pacid:27578579'	'no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre17.g732650.t1.2|pacid:27571383'	'Beach    no original description'	T
'27.3.99'	'RNA.regulation of transcription.unclassified'	'cre12.g540400.t1.2|pacid:27582614'	'Rcd1 RCD1   no original description'	T
'27.4'	'RNA.RNA binding'	'g4337.t1|pacid:27577193'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre08.g364700.t2.1|pacid:27562895'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre02.g074450.t1.3|pacid:27575647'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre06.g250800.t1.3|pacid:27568621'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre15.g640200.t1.3|pacid:27573138'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre09.g392350.t2.1|pacid:27569793'	'COG0724 RRM   no original description'	T
'27.4'	'RNA.RNA binding'	'cre02.g106250.t1.2|pacid:27575342'	'LA La   no original description'	T
'27.4'	'RNA.RNA binding'	'cre02.g146200.t1.3|pacid:27575320'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre12.g499750.t1.3|pacid:27582473'	'no original description'	T
'27.4'	'RNA.RNA binding'	'g5048.t1|pacid:27580760'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre06.g275100.t1.2|pacid:27567841'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre03.g148950.t1.2|pacid:27576127'	'RpsA rpsA rpsA PRK00087 rpsA PRK07400  no original description'	T
'27.4'	'RNA.RNA binding'	'cre03.g169150.t2.1|pacid:27577393'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre08.g384950.t1.2|pacid:27563110'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre16.g659150.t1.1|pacid:27566882'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre12.g560300.t3.1|pacid:27582377'	'COG0724 RRM      no original description'	T
'27.4'	'RNA.RNA binding'	'cre08.g379100.t1.3|pacid:27562921'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre01.g038850.t1.3|pacid:27578096'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre03.g177200.t1.2|pacid:27576404'	'COG0724     no original description'	T
'27.4'	'RNA.RNA binding'	'cre07.g328400.t1.2|pacid:27564518'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre03.g164950.t1.3|pacid:27577641'	'RRM  no original description'	T
'27.4'	'RNA.RNA binding'	'cre12.g560300.t2.1|pacid:27582379'	'COG0724 RRM      no original description'	T
'27.4'	'RNA.RNA binding'	'cre16.g656250.t1.1|pacid:27567582'	'RRM RRM_1   no original description'	T
'27.4'	'RNA.RNA binding'	'cre07.g336350.t1.3|pacid:27564140'	'RRM      no original description'	T
'27.4'	'RNA.RNA binding'	'cre02.g088800.t1.2|pacid:27575591'	'no original description'	T
'27.4'	'RNA.RNA binding'	'g9652.t1|pacid:27570365'	'no original description'	T
'27.4'	'RNA.RNA binding'	'g1894.t1|pacid:27575210'	'RsuA PseudoU_synth_RsuA_like PseudoU_synth_RsuA PseudoU_synth_RluB PseudoU_synth_RluF PRK10839 PseudoU_synth_Rsu_Rlu_like PRK10475 PRK10700 PseudoU_synth_RluE  no original description'	T
'27.4'	'RNA.RNA binding'	'cre14.g617100.t1.2|pacid:27565509'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre08.g364700.t1.1|pacid:27562896'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre05.g237700.t1.2|pacid:27572454'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre10.g428200.t1.2|pacid:27579802'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre17.g733208.t1.2|pacid:27571876'	'COG0724   no original description'	T
'27.4'	'RNA.RNA binding'	'cre12.g526750.t1.2|pacid:27581541'	'no original description'	T
'27.4'	'RNA.RNA binding'	'g1874.t1|pacid:27574798'	'COG0724 RRM RRM_1 WD40  no original description'	T
'27.4'	'RNA.RNA binding'	'cre02.g104650.t2.1|pacid:27574833'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre06.g280500.t1.3|pacid:27569591'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre02.g144500.t1.3|pacid:27574744'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre07.g330300.t1.2|pacid:27564318'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre17.g725300.t1.3|pacid:27571369'	'COG0724 RRM RRM_1   no original description'	T
'27.4'	'RNA.RNA binding'	'g4584.t1|pacid:27580392'	'no original description'	T
'27.4'	'RNA.RNA binding'	'g13688.t1|pacid:27581930'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre03.g184350.t1.3|pacid:27576106'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre06.g288750.t1.2|pacid:27569449'	'COG0724 RRM   no original description'	T
'27.4'	'RNA.RNA binding'	'cre10.g439700.t1.2|pacid:27579229'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre10.g462250.t1.2|pacid:27579324'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre03.g162750.t1.2|pacid:27577336'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre12.g546700.t1.3|pacid:27582557'	'no original description'	T
'27.4'	'RNA.RNA binding'	'g12057.t1|pacid:27581431'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre12.g560300.t1.2|pacid:27582378'	'COG0724 RRM      no original description'	T
'27.4'	'RNA.RNA binding'	'cre03.g158950.t1.1|pacid:27577111'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre02.g084750.t1.3|pacid:27574289'	'COG0724 RRM RRM_1   no original description'	T
'27.4'	'RNA.RNA binding'	'cre17.g729150.t1.2|pacid:27572213'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre02.g079400.t1.2|pacid:27574594'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre02.g104650.t1.3|pacid:27574834'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre06.g254800.t1.2|pacid:27568360'	'COG0724 RRM RRM_1         no original description'	T
'27.4'	'RNA.RNA binding'	'g16000.t1|pacid:27567552'	'COG0724    no original description'	T
'27.4'	'RNA.RNA binding'	'cre06.g280500.t2.1|pacid:27569590'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre01.g038650.t1.2|pacid:27577920'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre03.g169150.t1.2|pacid:27577392'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre17.g724200.t1.2|pacid:27571232'	'LA   no original description'	T
'27.4'	'RNA.RNA binding'	'g17992.t1|pacid:27571623'	'Ubox  no original description'	T
'27.4'	'RNA.RNA binding'	'g7867.t1|pacid:27563711'	'RRM_2   no original description'	T
'27.4'	'RNA.RNA binding'	'cre14.g621300.t2.1|pacid:27566036'	'LUC7 LUC7   no original description'	T
'27.4'	'RNA.RNA binding'	'cre12.g546700.t2.1|pacid:27582556'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre16.g685200.t1.3|pacid:27567416'	'RRM    no original description'	T
'27.4'	'RNA.RNA binding'	'cre10.g437850.t1.3|pacid:27580244'	'COG0724   no original description'	T
'27.4'	'RNA.RNA binding'	'g13681.t1|pacid:27581969'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre08.g368500.t1.2|pacid:27562930'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre06.g280550.t1.3|pacid:27568368'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre16.g672150.t1.2|pacid:27567431'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre12.g560400.t1.3|pacid:27582390'	'no original description'	T
'27.4'	'RNA.RNA binding'	'g15510.t1|pacid:27573105'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre17.g707400.t1.2|pacid:27571928'	'GAL11 PRK10263      no original description'	T
'27.4'	'RNA.RNA binding'	'g12057.t2|pacid:27581430'	'no original description'	T
'27.4'	'RNA.RNA binding'	'g17720.t1|pacid:27571814'	'SR  no original description'	T
'27.4'	'RNA.RNA binding'	'cre16.g672750.t1.2|pacid:27566594'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre03.g158150.t1.3|pacid:27577537'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre12.g524100.t1.2|pacid:27583036'	'MIF4G_like   no original description'	T
'27.4'	'RNA.RNA binding'	'cre13.g567850.t1.2|pacid:27574061'	'Gar1 GAR1   no original description'	T
'27.4'	'RNA.RNA binding'	'cre06.g250800.t2.1|pacid:27568620'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre14.g621300.t1.3|pacid:27566037'	'LUC7 LUC7   no original description'	T
'27.4'	'RNA.RNA binding'	'cre10.g466450.t1.3|pacid:27579226'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre06.g290450.t1.2|pacid:27567962'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre17.g707050.t1.2|pacid:27571388'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre08.g379100.t2.1|pacid:27562922'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre13.g602850.t1.3|pacid:27573792'	'no original description'	T
'27.4'	'RNA.RNA binding'	'cre02.g084750.t2.1|pacid:27574288'	'COG0724 RRM RRM_1   no original description'	T
'27.4'	'RNA.RNA binding'	'cre09.g392350.t1.2|pacid:27569794'	'COG0724 RRM   no original description'	T
'27.1001'	'RNA'	'monomethylphosphate'	'RNA (actually small nuclear RNA)'	M
'28'	'DNA'	''	''	
'28.1'	'DNA.synthesis/chromatin structure'	'cre06.g285650.t1.2|pacid:27567963'	'ORC6_1   no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre11.g475900.t1.2|pacid:27565214'	'CCR4 Exo_endo_phos    no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre12.g490150.t1.3|pacid:27582507'	'RecQ PRK11057 HELICc SrmB DEAD     no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'g10039.t1|pacid:27570489'	'Tex   no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre09.g393600.t1.2|pacid:27569628'	'Sld5   no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre06.g295700.t1.3|pacid:27568345'	'MCM MCM2 MCM        no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'g9828.t1|pacid:27570155'	'COG1112         no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre10.g442850.t1.3|pacid:27580036'	'PRK09138 PRK09137 TopA PRK08780 PRK06599 PRK08938 PRK09001 PRK05582 PRK07561 PRK06319 PRK08413 PRK07941 PRK05823 Topoisom_bac TOP1Ac TOP1Ac COG1110 PRK09401 PRK05776 PRK08620 PRK08174 PRK07220 PRK07141 PRK09031 PRK08173 TOPRIM_TopoIA_TopoI PRK07219 PRK07726 TOP1Bc COG1754 TOPRIM_TopoIA   no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre09.g397350.t1.3|pacid:27570938'	'DEAD_2 DinG HELICc2 DEXDc2      no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre06.g273413.t1.3|pacid:27569103'	'Nol1_Nop2_Fmu Sun yebU PRK10901     no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre07.g343350.t1.3|pacid:27564764'	'UvrD-helicase UvrD PRK10919 uvrD RecB   no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre16.g664300.t1.3|pacid:27567004'	'PolA COG1204 PRK05797 PRK08434 PRK02362 PRK08076 PRK08928 PRK07898 PRK07456 PRK01172 PRK06887 PRK07997 PRK07556 PRK08835 DNA_pol_A PRK05929 POLAc PRK07625 PRK05755 PRK00254 PRK07300 PRK08786 COG4581 COG1202 Lhr         no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre09.g416350.t1.2|pacid:27570357'	'NAP   no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'g7936.t1|pacid:27563875'	'COG1112            no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre03.g208000.t1.1|pacid:27576900'	'no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre12.g513701.t1.2|pacid:27581190'	'SrmB PRK11776 PRK11192 DEADc PRK10590 PRK04837 PRK01297 PRK04537 PRK11634 DEAD DEXDc Lhr DEXDc HELICc COG1205 Helicase_C HELICc                             no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre10.g432500.t1.2|pacid:27579558'	'COG5098   no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'g17999.t1|pacid:27571322'	'COG1204 Sec63 SEC63 PRK02362 PRK00254 PRK01172 COG1202 COG4581 Lhr DEAD DEXDc COG1205        no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre06.g293000.t1.3|pacid:27568872'	'DNA_primase_lrg PRI2   no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'g10001.t1|pacid:27570802'	'COG1112     no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre06.g251800.t1.2|pacid:27568192'	'rfc PRK04132 PRK12402 HolB DnaX PRK04195 PRK07133 PRK08451 PRK05563 PRK05896 MGS1 PRK07270 PRK06647 PRK06305 PRK06674 PRK07764        no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'g13784.t1|pacid:27582133'	'no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre03.g178900.t1.3|pacid:27576294'	'no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre03.g187950.t1.3|pacid:27575948'	'COG1112       no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'g2708.t1|pacid:27575431'	'no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre12.g512100.t1.1|pacid:27582944'	'no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre06.g305250.t1.3|pacid:27569015'	'no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre10.g446650.t1.3|pacid:27579634'	'COG1204 PRK02362 PRK00254 PRK01172 COG4581 Lhr COG1202 SEC63 COG1205 DEAD DEXDc       no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre06.g266400.t1.3|pacid:27568565'	'no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre07.g316850.t1.2|pacid:27564272'	'MCM MCM2 MCM        no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre07.g342550.t1.3|pacid:27564073'	'UbiE   no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre02.g092500.t1.3|pacid:27574619'	'COG1112 UPF1_Zn_bind         no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre06.g311400.t1.2|pacid:27569084'	'MUS81 ERCC4   no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre14.g619850.t1.3|pacid:27566017'	'no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre06.g257800.t1.3|pacid:27568418'	'PolA PRK08434 PRK08076 PRK05797 PRK07997 POLAc PRK08928 PRK08835 PRK07898 PRK06887 PRK07456 PRK08786 DNA_pol_A PRK07625 PRK05755 PRK07300 PRK07556 PRK05929  no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre07.g338000.t1.2|pacid:27564670'	'MCM MCM2 MCM        no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'g16711.t2|pacid:27566315'	'RecQ PRK11057 SrmB Lhr HELICc DEAD COG1205 DEXDc      no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'g8521.t1|pacid:27563136'	'PolA PRK08928 PRK05797 PRK08076 PRK07556 PRK08434 POLAc DNA_pol_A PRK07300 PRK08835 PRK07625 PRK07997 PRK07898 PRK06887 PRK05929 PRK07456 PRK05755 PRK08786  no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre04.g221650.t1.3|pacid:27580637'	'PRK05560 PRK05561 GyrA DNA_topoisoIV TOP4c TOP4c PRK09631 PRK12758 PRK09630   no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'g6320.t1|pacid:27569493'	'PRK01109 DNA_ligase_A_N CDC9 DRMBL     no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre10.g440750.t1.2|pacid:27580357'	'gyrB GyrB PRK05559 TOP2c TopoII_Trans_DNA_gyrase DNA_gyraseB TOPRIM_TopoIIA_GyrB TOPRIM_TopoIIA_like DNA_gyraseB_C   no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre06.g307600.t1.2|pacid:27568926'	'NAP   no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre12.g527300.t1.2|pacid:27582413'	'rfc PRK04132 PRK12402 HolB PRK04195 DnaX PRK07133 PRK05896 Rep_fac_C MGS1 PRK08691       no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre06.g266425.t1.2|pacid:27568566'	'HrpA PRK11664 PRK11131         no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'g4534.t1|pacid:27580413'	'no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre07.g342500.t1.3|pacid:27564439'	'no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre06.g263800.t1.3|pacid:27568853'	'COG1112         no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre12.g528200.t1.3|pacid:27581084'	'COG1112 Dna2       no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre07.g349300.t1.2|pacid:27564034'	'DEADc SrmB HELICc DEAD DEXDc PRK11192 PRK11776 PRK11634 Helicase_C PRK04837 HELICc PRK01297 PRK04537                  no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'g764.t1|pacid:27578086'	'SrmB PRK11192 PRK11776 PRK04837 DEADc PRK10590 PRK04537 PRK01297 PRK11634 DEAD DEXDc HELICc DEXDc COG1205 RecQ                           no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre07.g322300.t1.3|pacid:27564587'	'DEAD_2 HELICc2 DEXDc2     no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'g7530.t1|pacid:27564004'	'PRK01109 CDC9 DNA_ligase_A_M DNA_ligase_A_N ligB PRK09247 PRK09632 ligD ligC    no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre07.g319750.t1.2|pacid:27564727'	'DEADc SrmB HELICc PRK11192 DEXDc DEAD                    no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre07.g337150.t1.2|pacid:27563726'	'rfc PRK04132 PRK12402 HolB PRK04195 DnaX Rep_fac_C PRK07133 PRK05563 PRK08451 PRK06674 PRK07270 MGS1 PRK06305      no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre01.g040379.t1.2|pacid:27578379'	'COG1112         no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre14.g619839.t1.3|pacid:27565889'	'TOPRIM_TopoIIB_SPO COG1697 PRK04342   no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre06.g273400.t1.2|pacid:27568315'	'no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre10.g433550.t1.3|pacid:27579181'	'PRK01109 CDC9 DNA_ligase_A_M    no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre12.g512250.t1.3|pacid:27582051'	'3_5_exonuc Rnd 35EXOc 35EXOc   no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'g11476.t1|pacid:27565423'	'IPPc COG5411   no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre14.g619800.t1.2|pacid:27566118'	'no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre03.g178950.t1.2|pacid:27577290'	'RecQ PRK11057 SrmB HELICc DEAD DEXDc COG1205 DEXHc Lhr HELICc Helicase_C DEXDc      no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre12.g521200.t1.2|pacid:27583006'	'PRK04195 RFC1 HolB COG5275 rfc ligA Lig      no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'g11610.t1|pacid:27565094'	'CCR4    no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre12.g500450.t1.3|pacid:27582553'	'CCR4    no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre07.g342506.t1.2|pacid:27564440'	'no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'g2876.t1|pacid:27576388'	'no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'cre03.g178600.t1.1|pacid:27577201'	'TOPEUc Topoisomer_IB_N Topoisomer_IB_N_LdtopoI_like Topoisom_I_N Topoisomer_IB_N_htopoI_like Topoisom_I Topoisomer_IB_N_1 Topo_IB_C COG3569   no original description'	T
'28.1'	'DNA.synthesis/chromatin structure'	'g13432.t1|pacid:27582190'	'MUS81   no original description'	T
